frequency,raw
20,5.55
20.4,5.52
20.8,5.49
21.2,5.46
21.7,5.43
22.1,5.39
22.5,5.36
23.0,5.33
23.4,5.29
23.9,5.26
24.4,5.23
24.9,5.20
25.4,5.16
25.9,5.13
26.4,5.10
26.9,5.06
27.5,5.03
28,5
28.6,4.96
29.1,4.93
29.7,4.90
30.3,4.87
30.9,4.84
31.5,4.80
32.2,4.77
32.8,4.73
33.5,4.70
34.1,4.67
34.8,4.64
35.5,4.61
36.2,4.57
36.9,4.54
37.7,4.51
38.4,4.47
39.2,4.44
40,4.41
40.8,4.38
41.6,4.34
42.4,4.31
43.3,4.28
44.2,4.24
45.0,4.21
45.9,4.18
46.9,4.14
47.8,4.11
48.8,4.08
49.7,4.05
50.7,4.02
51.8,3.98
52.8,3.95
53.8,3.92
54.9,3.88
56,3.85
57.1,3.82
58.3,3.79
59.4,3.75
60.6,3.72
61.8,3.69
63.1,3.65
64.3,3.62
65.6,3.59
66.9,3.55
68.3,3.52
69.6,3.49
71,3.46
72.4,3.42
73.9,3.39
75.4,3.36
76.9,3.33
78.4,3.29
80,3.26
81.6,3.23
83.3,3.20
84.9,3.16
86.6,3.13
88.3,3.10
90.1,3.06
91.9,3.03
93.8,3.00
95.6,2.96
97.5,2.93
99.4,2.90
101.4,2.87
103.5,2.83
105.6,2.80
107.7,2.77
109.8,2.74
112,2.70
114.3,2.67
116.6,2.64
118.9,2.60
121.3,2.57
123.7,2.54
126.1,2.51
128.6,2.47
131.3,2.44
133.9,2.41
136.5,2.38
139.3,2.34
142,2.31
144.9,2.28
147.8,2.24
150.8,2.21
153.8,2.18
156.9,2.14
160,2.11
163.1,2.08
166.4,2.05
169.8,2.01
173.1,1.98
176.6,1.95
180.1,1.92
183.8,1.88
187.4,1.85
191.1,1.82
195,1.78
198.9,1.75
202.9,1.72
207,1.69
211.1,1.65
215.3,1.62
219.6,1.59
224,1.55
228.5,1.52
233,1.49
237.8,1.46
242.5,1.42
247.4,1.39
252.3,1.36
257.3,1.33
262.5,1.29
267.8,1.26
273,1.23
278.5,1.19
284,1.16
289.8,1.13
295.5,1.10
301.5,1.06
307.5,1.03
313.8,1.00
320,0.96
326.3,0.93
332.8,0.90
339.5,0.87
346.3,0.83
353.3,0.80
360.3,0.77
367.5,0.74
374.8,0.70
382.3,0.67
390,0.64
397.8,0.60
405.8,0.57
413.8,0.54
422.3,0.51
430.5,0.47
439.3,0.44
448,0.41
457,0.37
466,0.34
475.5,0.31
485,0.28
494.5,0.24
504.5,0.21
514.5,0.18
525,0.14
535.5,0.11
546,0.08
557,0.05
568,0.01
579.5,-0.02
591,-0.05
603,-0.08
615,-0.12
627.5,-0.15
640,-0.18
652.5,-0.22
665.5,-0.25
679,-0.28
692.5,-0.31
706.5,-0.35
720.5,-0.38
735,-0.41
749.5,-0.44
764.5,-0.46
780,-0.48
795.5,-0.50
811.5,-0.51
827.5,-0.53
844,-0.55
861,-0.57
878.5,-0.58
896,-0.60
914,-0.62
932,-0.64
950.5,-0.65
970,-0.67
989,-0.69
1009,-0.70
1029,-0.72
1050,-0.74
1071,-0.76
1092,-0.77
1114,-0.79
1136,-0.80
1159,-0.80
1182,-0.80
1206,-0.80
1230,-0.80
1254,-0.80
1280,-0.79
1305,-0.79
1331,-0.79
1358,-0.79
1385,-0.79
1413,-0.79
1441,-0.79
1470,-0.79
1499,-0.79
1529,-0.79
1560,-0.80
1591,-0.81
1623,-0.81
1655,-0.82
1688,-0.82
1722,-0.83
1757,-0.83
1792,-0.84
1828,-0.84
1864,-0.84
1901,-0.83
1939,-0.81
1978,-0.79
2018,-0.77
2058,-0.75
2100,-0.73
2142,-0.70
2184,-0.68
2228,-0.66
2272,-0.64
2318,-0.62
2364,-0.61
2412,-0.59
2460,-0.57
2508,-0.55
2560,-0.54
2610,-0.52
2662,-0.49
2716,-0.45
2770,-0.41
2826,-0.37
2882,-0.33
2940,-0.29
2998,-0.24
3058,-0.20
3120,-0.15
3182,-0.10
3246,-0.05
3310,0.01
3376,0.05
3444,0.06
3512,0.07
3584,0.08
3654,0.09
3728,0.10
3802,0.10
3878,0.11
3956,0.12
4036,0.13
4116,0.13
4200,0.10
4284,0.06
4368,0.01
4456,-0.03
4544,-0.13
4636,-0.27
4728,-0.41
4824,-0.55
4920,-0.69
5016,-0.83
5116,-0.97
5220,-1.12
5324,-1.32
5432,-1.57
5540,-1.81
5652,-2.08
5764,-2.37
5880,-2.68
5996,-2.97
6116,-3.24
6240,-3.50
6364,-3.71
6492,-3.76
6620,-3.75
6752,-3.54
6888,-2.81
7024,-1.89
7168,-0.96
7308,0.06
7456,0.97
7604,1.05
7756,0.53
7912,-0.10
8072,-0.98
8232,-1.85
8400,-2.48
8568,-2.97
8736,-3.30
8912,-3.48
9088,-3.61
9272,-3.69
9456,-3.59
9648,-3.28
9840,-3.17
10032,-3.29
10232,-3.90
10440,-4.73
10648,-4.72
10864,-3.26
11080,0.33
11304,4.66
11528,8.20
11760,9.05
11992,7.66
12232,6.50
12480,5.75
12728,5.28
12984,4.69
13240,4.09
13504,3.61
13776,3.21
14048,2.59
14328,1.79
14616,1.04
14912,0.32
15208,-0.30
15512,-0.56
15824,-0.41
16136,-0.14
16464,0.01
16784,-0.04
17120,-0.28
17472,-0.63
17824,-1.04
18176,-1.34
18544,-1.46
18912,-1.69
19296,-2.13
19680,-2.39
