frequency,raw
20,4.77
20.4,4.72
20.8,4.66
21.2,4.61
21.7,4.55
22.1,4.5
22.5,4.45
23.0,4.39
23.4,4.34
23.9,4.28
24.4,4.22
24.9,4.17
25.4,4.11
25.9,4.06
26.4,4.01
26.9,3.95
27.5,3.90
28,3.84
28.6,3.79
29.1,3.73
29.7,3.68
30.3,3.62
30.9,3.57
31.5,3.51
32.2,3.46
32.8,3.41
33.5,3.35
34.1,3.29
34.8,3.24
35.5,3.18
36.2,3.13
36.9,3.08
37.7,3.03
38.4,2.97
39.2,2.92
40,2.87
40.8,2.81
41.6,2.76
42.4,2.70
43.3,2.65
44.2,2.59
45.0,2.54
45.9,2.49
46.9,2.44
47.8,2.39
48.8,2.34
49.7,2.28
50.7,2.23
51.8,2.18
52.8,2.13
53.8,2.07
54.9,2.02
56,1.96
57.1,1.91
58.3,1.86
59.4,1.80
60.6,1.75
61.8,1.70
63.1,1.65
64.3,1.59
65.6,1.54
66.9,1.49
68.3,1.43
69.6,1.38
71,1.33
72.4,1.28
73.9,1.23
75.4,1.17
76.9,1.12
78.4,1.07
80,1.02
81.6,0.97
83.3,0.92
84.9,0.87
86.6,0.82
88.3,0.76
90.1,0.71
91.9,0.66
93.8,0.62
95.6,0.57
97.5,0.51
99.4,0.46
101.4,0.41
103.5,0.36
105.6,0.31
107.7,0.26
109.8,0.21
112,0.16
114.3,0.11
116.6,0.07
118.9,0.02
121.3,-0.03
123.7,-0.07
126.1,-0.12
128.6,-0.17
131.3,-0.22
133.9,-0.27
136.5,-0.32
139.3,-0.37
142,-0.42
144.9,-0.46
147.8,-0.50
150.8,-0.55
153.8,-0.60
156.9,-0.64
160,-0.69
163.1,-0.73
166.4,-0.77
169.8,-0.81
173.1,-0.85
176.6,-0.89
180.1,-0.93
183.8,-0.97
187.4,-1.01
191.1,-1.05
195,-1.09
198.9,-1.13
202.9,-1.17
207,-1.21
211.1,-1.24
215.3,-1.28
219.6,-1.32
224,-1.35
228.5,-1.39
233,-1.43
237.8,-1.46
242.5,-1.49
247.4,-1.53
252.3,-1.56
257.3,-1.59
262.5,-1.62
267.8,-1.66
273,-1.69
278.5,-1.72
284,-1.75
289.8,-1.78
295.5,-1.80
301.5,-1.83
307.5,-1.85
313.8,-1.87
320,-1.90
326.3,-1.93
332.8,-1.96
339.5,-1.98
346.3,-2.00
353.3,-2.02
360.3,-2.04
367.5,-2.06
374.8,-2.08
382.3,-2.11
390,-2.13
397.8,-2.16
405.8,-2.18
413.8,-2.20
422.3,-2.22
430.5,-2.24
439.3,-2.25
448,-2.26
457,-2.27
466,-2.28
475.5,-2.28
485,-2.29
494.5,-2.29
504.5,-2.29
514.5,-2.28
525,-2.28
535.5,-2.27
546,-2.26
557,-2.24
568,-2.23
579.5,-2.22
591,-2.20
603,-2.18
615,-2.14
627.5,-2.09
640,-2.06
652.5,-2.04
665.5,-2.02
679,-1.99
692.5,-1.96
706.5,-1.94
720.5,-1.92
735,-1.91
749.5,-1.89
764.5,-1.89
780,-1.88
795.5,-1.89
811.5,-1.91
827.5,-1.94
844,-1.98
861,-2.04
878.5,-2.11
896,-2.18
914,-2.25
932,-2.30
950.5,-2.33
970,-2.33
989,-2.30
1009,-2.24
1029,-2.14
1050,-2.04
1071,-1.91
1092,-1.76
1114,-1.61
1136,-1.45
1159,-1.29
1182,-1.15
1206,-1.04
1230,-0.95
1254,-0.86
1280,-0.80
1305,-0.75
1331,-0.71
1358,-0.68
1385,-0.65
1413,-0.57
1441,-0.46
1470,-0.33
1499,-0.18
1529,0.05
1560,0.30
1591,0.55
1623,0.79
1655,1.02
1688,1.24
1722,1.43
1757,1.58
1792,1.73
1828,1.90
1864,2.07
1901,2.24
1939,2.45
1978,2.68
2018,2.94
2058,3.22
2100,3.51
2142,3.78
2184,4.03
2228,4.29
2272,4.59
2318,4.91
2364,5.28
2412,5.68
2460,6.08
2508,6.41
2560,6.68
2610,6.93
2662,7.16
2716,7.38
2770,7.58
2826,7.76
2882,7.92
2940,8.07
2998,8.14
3058,8.06
3120,7.91
3182,7.77
3246,7.65
3310,7.5
3376,7.26
3444,6.93
3512,6.56
3584,6.22
3654,5.91
3728,5.58
3802,5.21
3878,4.81
3956,4.41
4036,4.06
4116,3.75
4200,3.45
4284,3.07
4368,2.60
4456,2.12
4544,1.74
4636,1.46
4728,1.20
4824,0.85
4920,0.46
5016,0.11
5116,-0.14
5220,-0.34
5324,-0.51
5432,-0.68
5540,-0.84
5652,-1.05
5764,-1.30
5880,-1.57
5996,-1.83
6116,-2.10
6240,-2.33
6364,-2.46
6492,-2.47
6620,-2.41
6752,-2.26
6888,-2.02
7024,-1.75
7168,-1.49
7308,-1.24
7456,-1.02
7604,-0.84
7756,-0.67
7912,-0.52
8072,-0.48
8232,-0.54
8400,-0.68
8568,-1.16
8736,-2.05
8912,-3.03
9088,-3.83
9272,-4.47
9456,-4.89
9648,-4.84
9840,-4.41
10032,-3.92
10232,-3.41
10440,-2.95
10648,-2.98
10864,-3.69
11080,-4.63
11304,-5.42
11528,-6.02
11760,-6.51
11992,-6.86
12232,-7.10
12480,-7.28
12728,-7.36
12984,-7.40
13240,-7.45
13504,-7.53
13776,-7.65
14048,-7.98
14328,-8.59
14616,-9.34
14912,-9.88
15208,-9.94
15512,-9.59
15824,-9.23
16136,-9.20
16464,-9.49
16784,-9.92
17120,-10.48
17472,-11.16
17824,-11.84
18176,-12.21
18544,-12.29
18912,-12.47
19296,-13.10
19680,-14.05
