frequency,raw
20,3.06
20.4,3.11
20.8,3.14
21.2,3.16
21.7,3.16
22.1,3.15
22.5,3.14
23.0,3.11
23.4,3.09
23.9,3.08
24.4,3.06
24.9,3.04
25.4,3.02
25.9,2.99
26.4,2.97
26.9,2.95
27.5,2.93
28,2.91
28.6,2.88
29.1,2.86
29.7,2.83
30.3,2.80
30.9,2.78
31.5,2.75
32.2,2.72
32.8,2.69
33.5,2.66
34.1,2.63
34.8,2.60
35.5,2.57
36.2,2.53
36.9,2.50
37.7,2.46
38.4,2.43
39.2,2.39
40,2.36
40.8,2.32
41.6,2.29
42.4,2.26
43.3,2.22
44.2,2.17
45.0,2.13
45.9,2.08
46.9,2.04
47.8,2
48.8,1.94
49.7,1.88
50.7,1.83
51.8,1.78
52.8,1.73
53.8,1.68
54.9,1.63
56,1.58
57.1,1.53
58.3,1.49
59.4,1.45
60.6,1.40
61.8,1.34
63.1,1.29
64.3,1.24
65.6,1.20
66.9,1.15
68.3,1.10
69.6,1.06
71,1.01
72.4,0.96
73.9,0.91
75.4,0.87
76.9,0.83
78.4,0.79
80,0.75
81.6,0.71
83.3,0.67
84.9,0.62
86.6,0.58
88.3,0.54
90.1,0.49
91.9,0.44
93.8,0.39
95.6,0.34
97.5,0.28
99.4,0.22
101.4,0.16
103.5,0.11
105.6,0.06
107.7,-0.00
109.8,-0.06
112,-0.13
114.3,-0.19
116.6,-0.26
118.9,-0.33
121.3,-0.40
123.7,-0.46
126.1,-0.53
128.6,-0.60
131.3,-0.67
133.9,-0.73
136.5,-0.79
139.3,-0.85
142,-0.91
144.9,-0.96
147.8,-1.01
150.8,-1.06
153.8,-1.12
156.9,-1.19
160,-1.25
163.1,-1.32
166.4,-1.38
169.8,-1.44
173.1,-1.50
176.6,-1.57
180.1,-1.64
183.8,-1.71
187.4,-1.78
191.1,-1.85
195,-1.92
198.9,-1.98
202.9,-2.04
207,-2.09
211.1,-2.13
215.3,-2.17
219.6,-2.21
224,-2.23
228.5,-2.25
233,-2.26
237.8,-2.28
242.5,-2.28
247.4,-2.28
252.3,-2.27
257.3,-2.26
262.5,-2.25
267.8,-2.23
273,-2.21
278.5,-2.20
284,-2.19
289.8,-2.17
295.5,-2.16
301.5,-2.14
307.5,-2.12
313.8,-2.09
320,-2.07
326.3,-2.06
332.8,-2.05
339.5,-2.04
346.3,-2.02
353.3,-2.01
360.3,-2.01
367.5,-2.00
374.8,-2.01
382.3,-2.04
390,-2.07
397.8,-2.11
405.8,-2.15
413.8,-2.19
422.3,-2.24
430.5,-2.28
439.3,-2.32
448,-2.36
457,-2.39
466,-2.42
475.5,-2.43
485,-2.43
494.5,-2.43
504.5,-2.42
514.5,-2.42
525,-2.41
535.5,-2.40
546,-2.39
557,-2.39
568,-2.40
579.5,-2.41
591,-2.43
603,-2.44
615,-2.45
627.5,-2.47
640,-2.48
652.5,-2.49
665.5,-2.48
679,-2.46
692.5,-2.43
706.5,-2.40
720.5,-2.38
735,-2.36
749.5,-2.35
764.5,-2.36
780,-2.38
795.5,-2.41
811.5,-2.45
827.5,-2.48
844,-2.50
861,-2.5
878.5,-2.49
896,-2.47
914,-2.46
932,-2.45
950.5,-2.44
970,-2.44
989,-2.44
1009,-2.43
1029,-2.42
1050,-2.40
1071,-2.37
1092,-2.34
1114,-2.29
1136,-2.25
1159,-2.21
1182,-2.16
1206,-2.08
1230,-1.97
1254,-1.81
1280,-1.63
1305,-1.44
1331,-1.24
1358,-1.05
1385,-0.87
1413,-0.74
1441,-0.65
1470,-0.60
1499,-0.52
1529,-0.40
1560,-0.25
1591,-0.09
1623,0.08
1655,0.28
1688,0.51
1722,0.77
1757,1.06
1792,1.31
1828,1.52
1864,1.74
1901,1.99
1939,2.27
1978,2.52
2018,2.72
2058,2.93
2100,3.19
2142,3.50
2184,3.83
2228,4.11
2272,4.33
2318,4.50
2364,4.66
2412,4.81
2460,4.95
2508,5.06
2560,5.20
2610,5.36
2662,5.5
2716,5.63
2770,5.77
2826,5.90
2882,6.04
2940,6.17
2998,6.30
3058,6.44
3120,6.55
3182,6.63
3246,6.66
3310,6.71
3376,6.79
3444,6.84
3512,6.85
3584,6.84
3654,6.80
3728,6.74
3802,6.70
3878,6.69
3956,6.67
4036,6.58
4116,6.43
4200,6.28
4284,6.11
4368,5.89
4456,5.64
4544,5.36
4636,5.07
4728,4.76
4824,4.45
4920,4.18
5016,3.91
5116,3.58
5220,3.20
5324,2.84
5432,2.51
5540,2.11
5652,1.66
5764,1.25
5880,0.86
5996,0.39
6116,-0.13
6240,-0.60
6364,-0.96
6492,-1.19
6620,-1.29
6752,-1.22
6888,-0.84
7024,-0.05
7168,1.01
7308,2.02
7456,2.55
7604,2.38
7756,1.63
7912,0.63
8072,-0.45
8232,-1.51
8400,-2.42
8568,-3.15
8736,-3.75
8912,-4.21
9088,-4.59
9272,-4.90
9456,-5.08
9648,-5.15
9840,-5.31
10032,-5.84
10232,-6.80
10440,-7.87
10648,-8.23
10864,-6.86
11080,-3.41
11304,0.93
11528,3.92
11760,4.17
11992,2.48
12232,0.57
12480,-0.78
12728,-1.80
12984,-2.79
13240,-3.73
13504,-4.56
13776,-5.36
14048,-6.26
14328,-7.27
14616,-8.32
14912,-9.34
15208,-10.22
15512,-10.82
15824,-11.13
16136,-11.37
16464,-11.77
16784,-12.42
17120,-13.37
17472,-14.57
17824,-15.95
18176,-17.44
18544,-19.06
18912,-20.91
19296,-23.05
19680,-25.39
