Frequency (Hz)	Level (dB)
10.766602	-87.070465
21.533203	-77.906082
32.299805	-71.017319
43.066406	-66.321541
53.833008	-63.433975
64.599609	-61.337708
75.366211	-60.530685
86.132812	-58.686909
96.899414	-57.158295
107.666016	-58.708454
118.432617	-57.987370
129.199219	-54.427670
139.965820	-52.563118
150.732422	-52.760696
161.499023	-52.727489
172.265625	-52.314835
183.032227	-52.276962
193.798828	-52.277802
204.565430	-51.650211
215.332031	-50.679443
226.098633	-48.766800
236.865234	-46.293343
247.631836	-44.146610
258.398438	-43.531521
269.165039	-45.118576
279.931641	-47.627869
290.698242	-46.103073
301.464844	-44.298981
312.231445	-42.996593
322.998047	-41.767025
333.764648	-40.709961
344.531250	-39.459167
355.297852	-38.700344
366.064453	-38.567638
376.831055	-38.967571
387.597656	-39.250896
398.364258	-39.553493
409.130859	-40.002102
419.897461	-40.150494
430.664062	-40.715641
441.430664	-40.612068
452.197266	-40.472332
462.963867	-40.444702
473.730469	-38.825520
484.497070	-37.819298
495.263672	-39.581860
506.030273	-42.983593
516.796875	-46.618717
527.563477	-48.571396
538.330078	-48.373604
549.096680	-47.463387
559.863281	-46.878555
570.629883	-46.712307
581.396484	-43.608498
592.163086	-40.044468
602.929688	-38.325363
613.696289	-38.118378
624.462891	-37.003674
635.229492	-35.979916
645.996094	-36.782276
656.762695	-38.751137
667.529297	-38.813232
678.295898	-36.871632
689.062500	-35.636162
699.829102	-35.021622
710.595703	-35.001999
721.362305	-35.393642
732.128906	-35.185894
742.895508	-35.219700
753.662109	-36.653030
764.428711	-38.056206
775.195312	-37.715931
785.961914	-36.411877
796.728516	-34.725349
807.495117	-34.421059
818.261719	-35.332733
829.028320	-35.117062
839.794922	-33.924984
850.561523	-32.878025
861.328125	-33.462631
872.094727	-35.068275
882.861328	-35.759296
893.627930	-35.352047
904.394531	-35.951675
915.161133	-37.941841
925.927734	-39.149353
936.694336	-37.076389
947.460938	-35.121616
958.227539	-36.302105
968.994141	-39.636662
979.760742	-42.170570
990.527344	-41.963764
1001.293945	-38.775631
1012.060547	-37.608299
1022.827148	-38.217793
1033.593750	-37.345539
1044.360352	-35.976582
1055.126953	-36.387829
1065.893555	-38.187778
1076.660156	-40.895054
1087.426758	-42.948372
1098.193359	-43.496517
1108.959961	-43.371220
1119.726562	-44.244354
1130.493164	-44.514431
1141.259766	-43.517544
1152.026367	-42.932732
1162.792969	-41.748917
1173.559570	-40.649315
1184.326172	-41.227032
1195.092773	-44.012897
1205.859375	-43.330776
1216.625977	-40.023720
1227.392578	-37.989151
1238.159180	-37.453915
1248.925781	-39.005917
1259.692383	-42.342262
1270.458984	-44.409496
1281.225586	-42.363682
1291.992188	-40.444782
1302.758789	-39.480110
1313.525391	-38.963406
1324.291992	-37.903374
1335.058594	-36.091724
1345.825195	-34.497742
1356.591797	-34.351955
1367.358398	-34.161991
1378.125000	-32.817532
1388.891602	-31.168066
1399.658203	-31.024881
1410.424805	-32.622627
1421.191406	-35.793068
1431.958008	-37.110619
1442.724609	-34.742203
1453.491211	-33.710938
1464.257812	-33.244854
1475.024414	-32.115364
1485.791016	-31.024086
1496.557617	-30.583551
1507.324219	-30.460749
1518.090820	-31.202162
1528.857422	-33.043701
1539.624023	-34.486008
1550.390625	-33.725777
1561.157227	-32.599960
1571.923828	-32.249805
1582.690430	-32.020973
1593.457031	-32.081799
1604.223633	-32.557594
1614.990234	-32.355457
1625.756836	-31.293781
1636.523438	-31.208324
1647.290039	-31.378241
1658.056641	-30.873257
1668.823242	-31.256147
1679.589844	-31.998257
1690.356445	-31.941294
1701.123047	-32.391975
1711.889648	-32.484653
1722.656250	-31.469030
1733.422852	-31.948565
