Frequency (Hz)	Level (dB)
10.766602	-110.820328
21.533203	-100.861420
32.299805	-93.946091
43.066406	-90.195488
53.833008	-87.749504
64.599609	-85.211929
75.366211	-84.051445
86.132812	-82.354408
96.899414	-80.948723
107.666016	-82.202431
118.432617	-82.591919
129.199219	-80.229713
139.965820	-78.580421
150.732422	-78.528931
161.499023	-77.946075
172.265625	-76.807335
183.032227	-76.378189
193.798828	-76.127609
204.565430	-75.155983
215.332031	-73.820755
226.098633	-72.776886
236.865234	-68.908943
247.631836	-63.150791
258.398438	-58.106491
269.165039	-55.816635
279.931641	-56.840435
290.698242	-58.051941
301.464844	-54.682537
312.231445	-49.895294
322.998047	-46.295750
333.764648	-44.418327
344.531250	-43.095161
355.297852	-42.121582
366.064453	-40.889729
376.831055	-39.802734
387.597656	-39.811207
398.364258	-39.941780
409.130859	-39.830948
419.897461	-39.256008
430.664062	-39.316128
441.430664	-39.764004
452.197266	-40.328846
462.963867	-40.951576
473.730469	-40.495926
484.497070	-40.276733
495.263672	-40.628269
506.030273	-40.353172
516.796875	-40.362263
527.563477	-42.043018
538.330078	-44.355537
549.096680	-46.507454
559.863281	-50.403030
570.629883	-54.617386
581.396484	-53.719162
592.163086	-49.426384
602.929688	-46.436882
613.696289	-44.481262
624.462891	-43.234001
635.229492	-42.992901
645.996094	-41.656052
656.762695	-39.587051
667.529297	-37.689152
678.295898	-36.037868
689.062500	-33.964581
699.829102	-32.061867
710.595703	-31.477598
721.362305	-32.160519
732.128906	-33.676964
742.895508	-34.649876
753.662109	-34.478394
764.428711	-33.584274
775.195312	-33.229996
785.961914	-33.194172
796.728516	-32.857075
807.495117	-33.473808
818.261719	-35.617813
829.028320	-35.968666
839.794922	-34.938541
850.561523	-34.941124
861.328125	-36.066772
872.094727	-36.679958
882.861328	-36.812565
893.627930	-36.351292
904.394531	-35.444363
915.161133	-35.667797
925.927734	-37.488613
936.694336	-37.563610
947.460938	-37.046474
958.227539	-37.565857
968.994141	-37.143291
979.760742	-37.564846
990.527344	-40.485985
1001.293945	-41.446541
1012.060547	-39.045174
1022.827148	-38.014622
1033.593750	-37.616982
1044.360352	-37.173412
1055.126953	-37.729137
1065.893555	-39.983940
1076.660156	-42.387371
1087.426758	-42.312424
1098.193359	-42.691704
1108.959961	-42.928631
1119.726562	-43.449696
1130.493164	-44.657944
1141.259766	-45.732712
1152.026367	-44.760490
1162.792969	-43.018291
1173.559570	-39.944374
1184.326172	-39.453117
1195.092773	-41.937775
1205.859375	-45.599243
1216.625977	-43.720387
1227.392578	-39.751537
1238.159180	-38.002926
1248.925781	-37.975163
1259.692383	-39.114098
1270.458984	-41.735840
1281.225586	-46.345875
1291.992188	-49.053223
1302.758789	-47.883282
1313.525391	-45.470802
1324.291992	-40.080730
1335.058594	-35.497555
1345.825195	-34.005749
1356.591797	-34.318901
1367.358398	-34.210720
1378.125000	-33.535069
1388.891602	-33.210545
1399.658203	-33.455269
1410.424805	-35.136360
1421.191406	-38.369385
1431.958008	-41.018360
1442.724609	-39.219971
1453.491211	-38.037411
1464.257812	-37.691334
1475.024414	-35.077309
1485.791016	-32.905846
1496.557617	-33.222530
1507.324219	-35.471664
1518.090820	-37.116512
1528.857422	-36.496155
1539.624023	-34.641945
1550.390625	-32.553337
1561.157227	-31.271324
1571.923828	-30.783218
1582.690430	-30.339687
1593.457031	-30.819477
1604.223633	-32.232147
1614.990234	-33.612946
1625.756836	-33.921246
1636.523438	-33.437634
1647.290039	-33.430626
1658.056641	-33.801105
1668.823242	-33.482136
1679.589844	-33.244549
1690.356445	-32.508041
1701.123047	-32.143524
1711.889648	-31.884274
1722.656250	-32.063652
1733.422852	-33.026615
1744.189453	-34.484673
1754.956055	-36.764221
1765.722656	-37.184578
1776.489258	-34.204903
1787.255859	-32.262894
1798.022461	-31.369642
1808.789062	-30.861275
1819.555664	-31.512590
1830.322266	-32.207165
1841.088867	-31.036573
1851.855469	-30.398554
1862.622070	-30.611073
1873.388672	-31.706430
1884.155273	-32.969543
1894.921875	-32.997303
1905.688477	-32.081379
1916.455078	-30.982122
1927.221680	-30.169754
1937.988281	-30.299448
1948.754883	-30.685637
1959.521484	-31.369915
1970.288086	-33.686691
1981.054688	-36.642742
1991.821289	-35.159443
2002.587891	-32.834049
2013.354492	-30.455864
2024.121094	-28.241724
2034.887695	-27.175962
2045.654297	-27.882521
2056.420898	-30.157341
2067.187500	-31.920424
2077.954102	-30.787998
2088.720703	-29.758566
2099.487305	-30.552399
2110.253906	-32.862171
2121.020508	-33.219318
2131.787109	-32.378429
2142.553711	-33.657566
2153.320312	-34.122150
2164.086914	-31.074827
2174.853516	-28.530272
2185.620117	-27.674524
2196.386719	-28.177454
2207.153320	-30.076742
2217.919922	-33.289097
2228.686523	-34.479370
2239.453125	-33.472347
2250.219727	-31.013987
2260.986328	-29.389902
2271.752930	-29.018631
2282.519531	-29.060516
2293.286133	-29.941492
2304.052734	-31.121262
2314.819336	-31.263153
2325.585938	-30.661594
2336.352539	-29.657669
2347.119141	-29.512609
2357.885742	-30.342844
2368.652344	-30.335461
2379.418945	-29.773378
2390.185547	-29.326971
2400.952148	-29.056643
2411.718750	-28.033163
2422.485352	-27.536324
2433.251953	-28.550217
2444.018555	-30.781034
2454.785156	-33.341293
2465.551758	-32.164932
2476.318359	-29.735107
2487.084961	-28.892921
2497.851562	-29.133541
2508.618164	-29.903002
2519.384766	-29.888891
2530.151367	-29.057390
2540.917969	-29.642477
2551.684570	-30.262545
2562.451172	-30.692394
2573.217773	-29.692774
2583.984375	-27.869556
2594.750977	-26.859079
2605.517578	-27.161901
2616.284180	-27.690107
2627.050781	-28.156887
2637.817383	-29.078630
2648.583984	-30.354698
2659.350586	-32.234653
2670.117188	-34.103504
2680.883789	-37.241821
2691.650391	-39.235783
2702.416992	-36.342079
2713.183594	-32.072838
2723.950195	-29.726557
2734.716797	-28.946615
2745.483398	-28.734938
2756.250000	-28.860863
2767.016602	-29.373661
2777.783203	-30.780437
2788.549805	-33.916229
2799.316406	-38.348595
2810.083008	-38.294918
2820.849609	-35.186245
2831.616211	-31.737740
2842.382812	-31.007645
2853.149414	-32.331997
2863.916016	-32.495132
2874.682617	-31.016426
2885.449219	-31.280680
2896.215820	-34.055061
2906.982422	-36.980247
2917.749023	-34.259193
2928.515625	-31.813210
2939.282227	-30.930185
2950.048828	-30.723705
2960.815430	-31.452646
2971.582031	-31.599880
2982.348633	-30.515270
2993.115234	-29.246508
3003.881836	-29.463356
3014.648438	-31.806908
3025.415039	-32.260494
3036.181641	-29.509779
3046.948242	-28.356588
3057.714844	-27.989525
3068.481445	-26.592079
3079.248047	-25.294382
3090.014648	-24.966711
3100.781250	-26.244196
3111.547852	-29.025454
3122.314453	-30.592363
3133.081055	-28.564331
3143.847656	-25.904325
3154.614258	-24.772362
3165.380859	-25.067745
3176.147461	-26.000292
3186.914062	-25.574986
3197.680664	-24.256208
3208.447266	-24.262468
3219.213867	-24.709536
3229.980469	-23.851698
3240.747070	-23.737268
3251.513672	-24.398844
3262.280273	-24.012175
3273.046875	-22.942667
3283.813477	-21.898258
3294.580078	-21.157619
3305.346680	-21.391657
3316.113281	-22.312607
3326.879883	-22.801910
3337.646484	-23.128326
3348.413086	-23.811613
3359.179688	-25.137333
3369.946289	-26.202070
3380.712891	-25.870111
3391.479492	-25.710398
3402.246094	-25.932417
3413.012695	-25.306974
3423.779297	-24.891611
3434.545898	-24.840549
3445.312500	-23.574488
3456.079102	-22.547400
3466.845703	-22.205301
3477.612305	-22.159212
3488.378906	-22.634687
3499.145508	-24.018980
3509.912109	-26.373346
3520.678711	-28.355698
3531.445312	-28.650244
3542.211914	-29.467314
3552.978516	-30.475969
3563.745117	-30.455708
3574.511719	-30.294250
3585.278320	-29.481178
3596.044922	-29.328428
3606.811523	-29.838964
3617.578125	-29.125092
3628.344727	-29.006775
3639.111328	-30.974478
3649.877930	-33.082035
3660.644531	-33.279316
3671.411133	-32.750969
3682.177734	-33.176807
3692.944336	-32.889256
3703.710938	-31.361902
3714.477539	-30.674627
