Frequency (Hz)	Level (dB)
10.766602	-112.705132
21.533203	-103.271439
32.299805	-96.296494
43.066406	-92.124641
53.833008	-89.198486
64.599609	-87.470978
75.366211	-87.331902
86.132812	-85.904266
96.899414	-84.225395
107.666016	-84.805885
118.432617	-83.960739
129.199219	-80.099869
139.965820	-77.363823
150.732422	-77.100945
161.499023	-76.314621
172.265625	-75.215485
183.032227	-74.405472
193.798828	-69.478996
204.565430	-63.041279
215.332031	-58.563969
226.098633	-55.012138
236.865234	-51.649586
247.631836	-48.641499
258.398438	-46.399975
269.165039	-45.600643
279.931641	-45.321445
290.698242	-43.721115
301.464844	-42.338982
312.231445	-41.212948
322.998047	-40.402065
333.764648	-39.238422
344.531250	-38.110607
355.297852	-38.044327
366.064453	-38.248505
376.831055	-38.282333
387.597656	-38.193710
398.364258	-38.782894
409.130859	-39.571930
419.897461	-39.521088
430.664062	-39.463009
441.430664	-39.001175
452.197266	-38.925579
462.963867	-38.372620
473.730469	-37.212826
484.497070	-36.914631
495.263672	-37.659485
506.030273	-38.203903
516.796875	-39.418549
527.563477	-41.689987
538.330078	-42.864281
549.096680	-44.017551
559.863281	-46.723415
570.629883	-48.694290
581.396484	-45.802280
592.163086	-42.052517
602.929688	-40.263432
613.696289	-38.771317
624.462891	-36.316147
635.229492	-35.250538
645.996094	-35.319710
656.762695	-34.801590
667.529297	-33.998203
678.295898	-32.850140
689.062500	-31.448107
699.829102	-30.376368
710.595703	-30.514822
721.362305	-30.910378
732.128906	-30.678263
742.895508	-30.741949
753.662109	-31.113356
764.428711	-31.399969
775.195312	-31.576450
785.961914	-32.015873
796.728516	-32.017906
807.495117	-32.101688
818.261719	-33.146339
829.028320	-32.929302
839.794922	-31.988020
850.561523	-31.812771
861.328125	-32.613495
872.094727	-32.998283
882.861328	-33.075184
893.627930	-33.417301
904.394531	-33.896214
915.161133	-35.114136
925.927734	-36.404160
936.694336	-35.439503
947.460938	-34.410896
958.227539	-34.945934
968.994141	-35.545479
979.760742	-36.332836
990.527344	-37.950981
1001.293945	-36.290890
1012.060547	-34.817791
1022.827148	-34.682816
1033.593750	-34.097225
1044.360352	-33.005505
1055.126953	-32.709324
1065.893555	-34.225498
1076.660156	-37.412010
1087.426758	-40.505249
1098.193359	-43.185089
1108.959961	-44.414955
1119.726562	-46.258137
1130.493164	-44.933895
1141.259766	-42.214520
1152.026367	-40.536625
1162.792969	-38.594215
